name,ra,dec,B,BErr,nB_tot,nB,V,VErr,nV_tot,nV,R,RErr,nR_tot,nR,I,IErr,nI_tot,nI,vary,objID
N1851-S1288,78.68756,-40.05272,21.391,,,14,20.840,,,12,,,,0,20.106,,,16,0.015,
N1851-S1289,78.68774,-40.03281,22.033,,,14,,,,0,,,,0,20.576,,,15,0.019,
N1851-S129,78.56570,-40.11309,20.298,,,39,19.844,,,39,,,,0,19.223,,,38,0.009,
N1851-S1290,78.68781,-39.93024,,,,0,21.548,,,14,,,,0,20.704,,,24,0.031,
N1851-S1291,78.68835,-40.08541,19.994,,,12,19.521,,,10,,,,0,18.882,,,10,-0.002,
N1851-S1292,78.68884,-40.12348,21.153,,,11,19.838,,,10,,,,0,18.272,,,10,-0.002,
N1851-S1293,78.68928,-39.94560,21.464,,,11,20.894,,,9,,,,0,20.151,,,9,0.021,
N1851-S1294,78.69010,-40.00596,20.010,,,11,19.567,,,9,,,,0,18.915,,,9,0.013,
N1851-S1295,78.69034,-40.07449,21.198,,,11,20.684,,,9,,,,0,19.946,,,9,0.023,
N1851-S1296,78.69015,-39.97720,15.642,,,11,14.714,,,9,,,,0,13.661,,,7,-0.002,
N1851-S1297,78.69055,-40.09737,20.997,,,11,20.467,,,9,,,,0,19.763,,,10,-0.003,
N1851-S1298,78.69071,-40.08548,20.916,,,11,20.404,,,9,,,,0,19.717,,,9,0.007,
N1851-S1299,78.69115,-39.92482,19.814,,,11,18.392,,,9,,,,0,16.609,,,9,-0.001,
N1851-S13,78.63835,-40.10070,19.919,,,33,19.477,,,33,,,,0,18.838,,,31,0.015,
N1851-S130,78.56549,-40.10633,21.177,,,32,20.651,,,36,,,,0,19.968,,,37,0.024,
N1851-S1300,78.69120,-39.92900,20.571,,,11,20.107,,,9,,,,0,19.410,,,9,0.007,
N1851-S1301,78.69186,-40.13773,21.530,,,11,20.976,,,9,,,,0,20.208,,,9,0.010,
N1851-S1302,78.69202,-39.93583,20.698,,,11,20.557,,,9,,,,0,19.838,,,9,-0.002,
N1851-S1303,78.69283,-40.12468,21.527,,,11,20.066,,,10,,,,0,17.796,,,10,-0.002,
N1851-S1304,78.69257,-39.97036,16.548,,,11,15.848,,,9,,,,0,15.036,,,9,0.000,
N1851-S1305,78.69294,-40.01268,,,,0,20.524,,,9,,,,0,18.777,,,10,0.006,
N1851-S1308,78.69516,-40.08322,20.779,,,11,20.309,,,10,,,,0,19.620,,,10,-0.002,
N1851-S131,78.56533,-40.09979,20.177,,,39,19.680,,,39,,,,0,19.064,,,38,0.015,
N1851-S132,78.56548,-40.11789,20.548,,,38,20.069,,,38,,,,0,19.434,,,37,-0.003,
N1851-S133,78.56520,-40.14045,20.571,,,36,20.094,,,36,,,,0,19.455,,,38,0.020,
N1851-S134,78.56462,-40.12532,19.975,,,39,19.511,,,39,,,,0,18.877,,,38,0.004,
N1851-S135,78.56345,-40.10803,16.540,,,40,16.529,,,39,,,,0,16.514,,,38,0.004,
N1851-S136,78.56317,-40.12319,20.187,,,38,19.719,,,39,,,,0,19.090,,,38,0.011,
N1851-S137,78.56276,-40.11576,19.804,,,39,19.342,,,39,,,,0,18.713,,,38,0.004,
N1851-S138,78.56261,-40.11976,19.561,,,40,19.041,,,39,,,,0,18.360,,,38,0.013,
N1851-S139,78.56218,-40.10955,20.929,,,35,20.420,,,38,,,,0,19.747,,,37,0.034,
N1851-S14,78.63805,-40.10532,20.524,,,31,20.049,,,32,,,,0,19.379,,,31,0.010,
N1851-S140,78.56078,-40.13820,20.225,,,39,19.755,,,39,,,,0,19.122,,,38,-0.002,
N1851-S141,78.56034,-40.14258,21.193,,,31,19.882,,,36,,,,0,18.430,,,38,-0.004,
N1851-S142,78.56010,-40.13315,20.502,,,38,20.035,,,38,,,,0,19.394,,,38,0.010,
N1851-S143,78.55959,-40.09928,20.966,,,35,20.451,,,38,,,,0,19.793,,,37,-0.007,
N1851-S144,78.55927,-40.11806,19.756,,,39,19.289,,,39,,,,0,18.654,,,38,0.013,
N1851-S145,78.55901,-40.09760,20.663,,,37,20.191,,,38,,,,0,19.563,,,38,0.009,
N1851-S147,78.55792,-40.10421,20.464,,,39,19.998,,,38,,,,0,19.335,,,38,0.019,
N1851-S148,78.55773,-40.09504,19.388,,,38,18.674,,,37,,,,0,17.847,,,38,0.011,
N1851-S149,78.55668,-40.09716,19.598,,,38,19.119,,,39,,,,0,18.467,,,38,0.023,
N1851-S15,78.63361,-40.10156,20.206,,,33,19.751,,,32,,,,0,19.113,,,31,0.013,
N1851-S150,78.55621,-40.10077,19.593,,,40,19.108,,,39,,,,0,18.450,,,38,0.012,
N1851-S151,78.55624,-40.12935,21.041,,,33,20.538,,,37,,,,0,19.867,,,37,0.039,
